date,target,days_to_news,open,high,low,close,vol,signed_volume,zero_vol_mins_count,significant_mins_count,max_signed_volume,trade_value,trade_value_std,RSI_above_80_count,RSI_below_20_count,avg_price,max_box_cross_2p_count,price_cross_bb,30d_avg_trade_value,trade_val_ratio,body_vs_shadow,interaday_volatility,cloud_width_to_range,max_10_min_price_change_pos,max_10_min_price_change_neg,max_10_min_trade_Value,correlation,RSI
2017-10-30,0,0,124.05729880478088,126.94,124.05729880478088,126.94,125381420.59240586,52256500.99999944,58,0,34145054.99999968,15765565394,319768474.03318524,17,14,125.7408419804975,0,21,20222072518,0.7796216426289089,1,0.4752793397703295,1.234628427143724,0.009654063,-0.006033789,4833083063,-0.378369841,57.95863309352515
2017-10-31,0,0,127.65057471264367,132,126.94252873563218,132,628705796.5909091,72234093.99999976,56,0,57037271.99999961,82692383696,1824851049.314165,24,6,131.52794859597407,1,17,22543670369,3.6680976230787614,0.8600000000000001,1.9640779915935012,0.083750549,0.022988505747126495,-0.011457922,24983535960,0.943275305,66.35859519408501
2017-11-01,0,0,131.8045962264151,134.6369283018868,129.9838113207547,134.03,399772874.7295382,193716322,31,0,116753084.00000024,53058267122,639767985.6224031,8,17,132.7210285537656,2,22,24013432421.766666,2.2095244940455085,0.47826086956521524,0.9033877993612369,0.056310989,0.022556390977443545,-0.022376543,11330122529,-0.236755709,64.71500581620785
2017-11-04,0,0,131.5,134.02884615384616,130.8930769230769,131.5,124564457.79467681,6257134.000000246,58,0,6813638.000000283,16439234359,160923221.7,11,17,131.9737158579959,0,19,24042185197.466667,0.683766231,0,0.6987592731031596,0.2888250527423412,0.013257575757575898,-0.014609765,3224661336,0.42778515506459147,58.93361581920905
2017-11-05,0,0,132.30904709748083,138.53,131.49981745162466,138.53,1391766015.7005703,31031466.999999702,26,0,17504860.000000127,1.9196E+11,1889827845.8886142,28,1,137.92552591203594,1,16,27856879508.866665,6.890939080269215,0.8848920863309339,2.2436866275558294,0.1629999317980513,0.028697572,-0.005767013,54846252816,0.7519926367056223,65.15877771120431
2017-11-06,0,0,139.5859701492537,141.50780597014924,135.3377014925373,135.54,318494292.4597905,-60462213,26,0,8650040.000000061,44142448562,460410855.5367697,12,13,138.59729862372004,1,24,27408128623.466667,1.6105604716188289,0.6557377049180305,1.6751528030199192,0.1899525530959959,0.012931034482758483,-0.021603808,7176476017,0.603288011,63.22674418604652
2017-11-07,0,0,136.04444866920153,136.04444866920153,132.9594258555133,133.01,252810544.39515826,-25174360,37,0,3989848.0000000037,33843719420,375249851.0864815,0,18,133.86988861944067,1,22,27326034758.566666,1.2385155665290974,0.9836065573770504,0.6150393423258643,0.4657181678778915,0.004124484,-0.009433962,5763698406,0.069780744,58.839479392624725
2017-11-08,0,0,132.91501130369252,135.59556518462696,131.9540580256217,134.23,128887358.86165537,9755890.000000048,61,0,16199999.999999946,17292775187,190828640.59396192,21,22,134.1696760623488,0,22,27476504776,0.6293659010936693,0.36111111111111305,1.1331503059806332,0.5093927365977735,0.016442451,-0.013297872,2726180050,0.5573941706798661,64.70920384
2017-11-11,0,0,136.45771320754716,136.45771320754716,133.06903018867925,134.03,109410656.56942476,34614502.000000365,71,0,33135000.00000035,14715875857,264672469.32747108,6,32,134.50130287502915,1,30,27504102590.833332,0.5350429379908058,0.7164179104477608,0.6180572314920806,0.6367486380713194,0.018608113137327856,-0.018939394,2698564929,0.23346578506405488,65.37364517969195
2017-11-12,0,0,131.99851711026616,133.41459315589353,131.99851711026616,133.01,240197577.70092475,2679292.9999998612,57,0,7125200.999999952,31888201170,810525233.1232877,2,7,132.75821294794528,0,29,28238573058.833332,1.1292426534288007,0.7142857142857114,0.31058234571666976,1.2650824734655413,0.009487666,-0.005718643,12055160533,-0.081588284,65.72985374
2017-11-13,0,0,132.6072340425532,136.50149682717432,132.6072340425532,135.49,123000761.50269392,-13856187,61,0,1470726.0000000552,16559532129,227095053.1974607,9,9,134.62950901029436,0,29,28088723970.233334,0.5895437666213942,0.7402597402597424,0.9034113503763548,0.19695577835042247,0.017055988134964832,-0.007116105,3822835953,0.4529947300449659,69.70362239297475
2017-11-14,0,0,135.59360606060608,138.02124242424244,133.0648181818182,133.52,124288360.69502695,1820508.9999999818,69,0,4160375.999999957,16785017552,168525747.4871061,2,22,135.04898976973638,1,22,28067603508.433334,0.5980210439753678,0.4183673469387764,1.1180506300056077,0.10862954583545403,0.013215859030837072,-0.020591539,2238679741.000001,-0.579901818,68.29792955095456
2017-11-15,0,0,133.52172923777022,134.98844520288208,133.0665415244596,133.37,89067190.99497637,-1491241,80,0,870956.0000000658,11880220353,119351665.49526615,5,29,133.38492232981812,0,22,28063212393,0.42333786262452366,0.078947368,0.32495680197770604,0.059222199829902324,0.011240164855751328,-0.012135002,3157259891,-0.549665947,69.04050013590648
