iter	Passed	Remaining
1425	13547	1653
1426	13556	1643
1427	13564	1633
1428	13575	1624
1429	13584	1614
1430	13595	1605
1431	13605	1596
1432	13614	1586
1433	13624	1577
1434	13633	1567
1435	13643	1558
1436	13652	1548
1437	13661	1539
1438	13669	1529
1439	13678	1519
1440	13688	1510
1441	13696	1500
1442	13705	1491
1443	13715	1481
1444	13725	1472
1445	13734	1462
1446	13744	1453
1447	13753	1443
1448	13762	1434
1449	13771	1424
1450	13780	1415
1451	13789	1405
1452	13799	1396
1453	13807	1386
1454	13817	1376
1455	13828	1367
1456	13837	1358
1457	13846	1348
1458	13856	1339
1459	13865	1329
1460	13874	1319
1461	13883	1310
1462	13891	1300
1463	13900	1291
1464	13909	1281
1465	13919	1272
1466	13927	1262
1467	13936	1253
1468	13946	1243
1469	13955	1234
1470	13965	1224
1471	13975	1215
1472	13984	1205
1473	13993	1196
1474	14002	1186
1475	14012	1177
1476	14020	1167
1477	14030	1158
1478	14039	1148
1479	14048	1139
1480	14057	1129
1481	14067	1120
1482	14078	1110
1483	14088	1101
1484	14098	1091
1485	14109	1082
1486	14119	1072
1487	14129	1063
1488	14138	1053
1489	14148	1044
1490	14159	1035
1491	14168	1025
1492	14180	1016
1493	14189	1006
1494	14198	997
1495	14207	987
1496	14216	978
1497	14233	969
1498	14243	959
1499	14251	950
1500	14261	940
1501	14269	931
1502	14279	921
1503	14288	912
1504	14297	902
1505	14305	892
1506	14315	883
1507	14326	874
1508	14337	864
1509	14346	855
1510	14357	845
1511	14369	836
1512	14378	826
1513	14387	817
1514	14397	807
1515	14408	798
1516	14418	788
1517	14427	779
1518	14439	769
1519	14449	760
1520	14459	751
1521	14470	741
1522	14479	732
1523	14489	722
1524	14500	713
1525	14510	703
1526	14520	694
1527	14529	684
1528	14539	675
1529	14550	665
1530	14560	656
1531	14570	646
1532	14581	637
1533	14590	627
1534	14600	618
1535	14610	608
1536	14621	599
1537	14631	589
1538	14642	580
1539	14653	570
1540	14663	561
1541	14673	551
1542	14683	542
1543	14694	532
1544	14704	523
1545	14716	514
1546	14726	504
1547	14736	495
1548	14748	485
1549	14760	476
1550	14770	466
1551	14780	457
1552	14791	447
1553	14802	438
1554	14813	428
1555	14824	419
1556	14833	409
1557	14844	400
1558	14853	390
1559	14863	381
1560	14874	371
1561	14885	362
1562	14897	352
1563	14910	343
1564	14922	333
1565	14932	324
1566	14943	314
1567	14953	305
1568	14963	295
1569	14972	286
1570	14981	276
1571	14993	267
1572	15003	257
1573	15013	248
1574	15025	238
1575	15035	228
1576	15045	219
1577	15057	209
1578	15066	200
1579	15076	190
1580	15087	181
1581	15103	171
1582	15113	162
1583	15125	152
1584	15136	143
1585	15147	133
1586	15159	124
1587	15169	114
1588	15179	105
1589	15190	95
1590	15203	86
1591	15214	76
1592	15225	66
1593	15237	57
1594	15247	47
1595	15258	38
1596	15267	28
1597	15277	19
1598	15288	9
1599	15299	0
