event_id,raceId,driverId,constructorId,circuitId,year,round,race_name,constructor_name,circuit_name,pit_lap,stop_number,stop_duration_ms,race_total_laps,grid_position,current_position,driver_champ_points,constructor_champ_points,lap_time_delta_ms,laps_since_last_pit,laps_remaining,approx_gap_ahead_s,approx_gap_behind_s,safety_car_likely,recent_pace_delta_ms,position_change_from_grid,same_lap_pitters,pit_window_density,stint_extension_laps,race_progress,stint_fraction,pressure_index
1002_839_1,1002,839,10,14,2018,14,Italian Grand Prix,Force India,Autodromo Nazionale di Monza,38,1,24827,53,8,7,37.0,18.0,4283,38.0,15,0.478,10.217,0,122.66666666667152,1,0,2,17.5,0.7169811320754716,0.7169811320754716,0.7657403831874656
1002_840_1,1002,840,3,14,2018,14,Italian Grand Prix,Williams,Autodromo Nazionale di Monza,35,1,26440,53,10,11,4.0,4.0,4694,35.0,18,1.845,12.032,0,414.3333333333285,-1,0,2,14.5,0.660377358490566,0.660377358490566,0.42822804161393724
1002_842_1,1002,842,5,14,2018,14,Italian Grand Prix,Toro Rosso,Autodromo Nazionale di Monza,34,1,27792,53,9,13,28.0,30.0,4716,34.0,19,4.72,0.477,0,208.66666666667152,-4,0,0,13.5,0.6415094339622641,0.6415094339622641,0.8518732452381743
1002_844_1,1002,844,15,14,2018,14,Italian Grand Prix,Sauber,Autodromo Nazionale di Monza,34,1,24084,53,15,15,13.0,19.0,4215,34.0,19,1.116,19.374,0,167.66666666667152,0,1,1,13.5,0.6415094339622641,0.6415094339622641,0.5216719556022604
1002_845_1,1002,845,3,14,2018,14,Italian Grand Prix,Williams,Autodromo Nazionale di Monza,37,1,25245,53,12,10,0.0,4.0,4675,37.0,16,7.033,9.588,0,641.0,2,0,2,16.5,0.6981132075471698,0.6981132075471698,0.2189330364720029
1002_8_1,1002,8,6,14,2018,14,Italian Grand Prix,Ferrari,Autodromo Nazionale di Monza,20,1,23862,53,1,2,146.0,360.0,4605,20.0,33,3.632,4.932,0,199.0,-1,0,0,-0.5,0.37735849056603776,0.37735849056603776,0.38446667295555736
1003_1_1,1003,1,131,15,2018,15,Singapore Grand Prix,Mercedes,Marina Bay Street Circuit,15,1,28946,61,1,2,256.0,415.0,7247,15.0,46,0.418,3.523,0,541.6666666666715,-1,0,2,6.0,0.2459016393442623,0.2459016393442623,0.9263108132170099
1003_4_1,1003,4,1,15,2018,15,Singapore Grand Prix,McLaren,Marina Bay Street Circuit,38,1,29922,61,11,7,44.0,52.0,8576,38.0,23,33.533,20.858,0,545.0,4,0,3,29.0,0.6229508196721312,0.6229508196721312,0.0747076483486152
1003_815_1,1003,815,10,15,2018,15,Singapore Grand Prix,Force India,Marina Bay Street Circuit,17,1,29978,61,7,7,46.0,32.0,9851,17.0,44,6.835,1.566,0,1987.3333333333285,0,1,5,8.0,0.2786885245901639,0.2786885245901639,0.5173440320404126
1003_815_2,1003,815,10,15,2018,15,Singapore Grand Prix,Force India,Marina Bay Street Circuit,33,2,30561,61,7,19,46.0,32.0,18079,16.0,28,9.94,,0,999.6666666666715,-12,0,0,2.0,0.5409836065573771,0.26229508196721313,
1003_815_3,1003,815,10,15,2018,15,Singapore Grand Prix,Force India,Marina Bay Street Circuit,39,3,24340,61,7,19,46.0,32.0,12139,6.0,22,2.591,,0,1169.6666666666715,-12,0,3,-4.5,0.639344262295082,0.09836065573770492,
1003_817_1,1003,817,9,15,2018,15,Singapore Grand Prix,Red Bull,Marina Bay Street Circuit,27,1,28779,61,6,2,118.0,248.0,9202,27.0,34,2.422,2.742,0,665.0,4,0,2,18.0,0.4426229508196721,0.4426229508196721,0.5594635397517431
1003_822_1,1003,822,131,15,2018,15,Singapore Grand Prix,Mercedes,Marina Bay Street Circuit,16,1,28542,61,4,4,159.0,415.0,7724,16.0,45,1.636,9.965,0,493.3333333333285,0,0,4,7.0,0.26229508196721313,0.26229508196721313,0.47056194111903854
1003_825_2,1003,825,210,15,2018,15,Singapore Grand Prix,Haas F1 Team,Marina Bay Street Circuit,36,2,30711,61,16,18,49.0,76.0,11684,10.0,25,2.319,7.027,0,4907.6666666666715,-2,1,1,-4.0,0.5901639344262295,0.16393442622950818,0.42587511499397573
1003_825_3,1003,825,210,15,2018,15,Singapore Grand Prix,Haas F1 Team,Marina Bay Street Circuit,48,3,29324,61,16,16,49.0,76.0,9882,12.0,13,15.605,0.586,0,1913.6666666666715,0,0,0,1.5,0.7868852459016393,0.19672131147540983,0.6907398484101137
1003_828_1,1003,828,15,15,2018,15,Singapore Grand Prix,Sauber,Marina Bay Street Circuit,44,1,28860,61,14,10,6.0,19.0,11003,44.0,17,4.998,2.652,0,2925.3333333333285,4,0,1,35.0,0.7213114754098361,0.7213114754098361,0.44054480372610516
1003_830_1,1003,830,9,15,2018,15,Singapore Grand Prix,Red Bull,Marina Bay Street Circuit,17,1,29681,61,2,1,130.0,248.0,7292,17.0,44,,0.278,0,206.0,1,0,4,8.0,0.2786885245901639,0.2786885245901639,
